strain	Total_mutation
ECA732	18.716814159292
ECA733	18.5316207684772
ECA738	17.3581022530329
ECA740	33.7685950413223
ECA741	33.809575744356
ECA742	33.2759195466163
ECA743	16.9193286410395
ECA744	32.7286804557018
ECA745	33.5062689148292
ECA746	32.7652982184353
ECA760	17.7236997954129
ECA768	17.8932492662246
ECA777	17.5693101225016
ECA778	17.2081055001608
ECA807	18.5370088995008
ECA812	17.9926889581765
ECA923	12.6831401705664
ECA928	14.6952422714317
ECA930	10.1385253054101
ED3005	11.1225484884603
ED3011	11.4325812371802
ED3012	3.48687042617305
ED3017	6.74777514926214
ED3040	12.025040827436
ED3046	11.9001713796058
ED3048	9.72436604189636
ED3049	11.8463795452164
ED3052	11.8195142378559
ED3073	10.9201712968047
ED3077	10.6862120246441
EG4347	5.61224489795918
EG4349	13.8944275369923
EG4724	12.8711813715018
EG4725	14.1231075256934
EG4946	7.84121805328983
GXW1	10.4287556415216
JR4305	13.9839142091153
JT11398	9.22248045637017
JU1088	10.2152899824253
JU1172	9.7497562560936
JU1200	2.3295575977773
JU1212	7.72433439246193
JU1213	12.1390658174098
JU1242	12.7952755905512
JU1246	12.5776742121616
JU1249	3.1366228613935
JU1395	6.84102453258403
JU1400	12.5537208776295
JU1409	10.2711101585941
JU1440	8.13655305053959
JU1491	11.6190373871938
JU1530	10.3011855174624
JU1543	4.07533517769738
JU1568	3.59848484848485
JU1581	13.6245814882817
JU1586	4.03926617315739
JU1652	11.2701546561369
JU1666	13.3697347893916
JU1792	6.87454602054581
JU1793	15.3642315286293
JU1808	10.1383687057844
JU1896	10.0386526780784
JU1934	11.4146240132946
JU2001	14.7221630828188
JU2007	10.89062006527
JU2016	9.6987012987013
JU2017	13.1183469004383
JU2106	13.6945658963148
JU2131	13.8188852870438
JU2141	11.8185601331669
JU2234	9.84809072937259
JU2250	13.7302995511951
JU2257	4.1334452370961
JU2316	17.2201189832342
JU2464	11.8158810503005
JU2466	9.3806437905025
JU2478	11.3953004782699
JU2513	9.49805733487346
JU2519	15.2048347416836
JU2522	12.8373411739998
JU2526	19.8992042440318
JU2534	9.76489028213166
JU2565	3.90559732664996
JU2566	6.05446419291134
JU2570	13.5239085239085
JU2572	5.68658280922432
JU2575	5.48393803929722
JU2576	12.9542851192336
JU2578	11.4984391259105
JU258	16.8117219345599
JU2581	13.3994126284875
JU2586	13.4293438702298
JU2587	11.2411153635867
JU2592	7.10496203058358
JU2593	13.1819615263324
JU2600	11.685065611331
JU2610	11.9164747749634
JU2619	9.46411277305499
JU2800	12.4815828246685
JU2811	13.5448348190876
JU2825	5.07664846703066
JU2829	13.9166146808068
JU2838	13.2902148967244
JU2841	12.4791057250313
JU2853	7.44084682440847
JU2862	11.4629841137992
JU2866	11.5575239902984
JU2878	11.2295777636325
JU2879	14.7986081822016
JU2906	8.41620433371716
JU2907	3.96850229453484
JU310	10.2975593447008
JU311	8.21725515603067
JU3125	8.43069996784221
JU3127	8.93087855297158
JU3128	8.83977900552486
JU3132	12.334189131365
JU3134	9.38876356214416
JU3135	9.72883231876038
JU3137	11.995946234265
JU3140	13.1290322580645
JU3141	8.34584853035829
JU3144	11.2287900632139
JU3166	16.0088191008819
JU3167	16.9613200471445
JU3169	16.276182250054
JU3224	11.1511196129177
JU3225	8.76049491825011
JU3226	29.7121356903966
JU3228	12.0342451001508
JU323	11.6029873362918
JU3280	12.563301368387
JU3282	9.9247716281569
JU3291	11.2778315585673
JU3318	9.82182381584772
JU346	9.53637824190957
JU360	10.9721788058768
JU367	4.74174882126018
JU3795	11.6739628934751
JU393	9.5394382868826
JU394	4.59689588273335
JU397	11.5801452259673
JU4047	13.6906666666667
JU406	4.0814128796037
JU4073	10.6763126164639
JU4082	17.356055592323
JU4098	10.3277952402335
JU440	6.29980615981047
JU561	8.41610312764159
JU642	9.48174322732627
JU751	12.4342881665057
JU774	10.6124206221074
JU775	19.288907813498
JU778	12.8996865203762
JU782	14.0324108176365
JU792	14.0418267178831
JU830	11.3675675675676
JU847	12.1903941417187
KR314	11.4420062695925
LKC34	11.4641778161416
MY1	11.6406082672949
MY10	11.8425264056332
MY16	13.664398128456
MY18	12.706791467131
MY2147	10.2038638061693
MY2212	10.8628020325625
MY23	17.4355347622674
MY2453	10.5093219456307
MY2530	8.92685531233315
MY2535	9.42408376963351
MY2573	9.41336971350614
MY2585	10.2041936546273
MY2693	9.56033272118397
MY2713	10.1693121693122
MY2741	10.9675352413499
MY518	11.216896476253
MY679	10.7480067142258
MY772	12.1292372881356
MY795	10.5024497029084
MY920	9.40674303004106
N2	0.240590248075278
NIC1	8.31875819851334
NIC1049	8.86023294509151
NIC1107	6.41517255674163
NIC1119	11.1466325660699
NIC166	12.397880326783
NIC1779	10.5576639257854
NIC1780	17.0448520835542
NIC1782	16.0553892215569
NIC1783	16.3196987132545
